Q0HPB7	Q0HPB7
Q0HPB7	Q0I0T3
Q0HPB7	A1RDW6
Q668V1	Q668V1
Q2FQ74	Q2FQ74
P0DXZ0	P0DXZ0
P0CY52	P0CY52
Q5YRY5	Q5YRY5
P49594	P49594
Q4J6Z4	Q4J6Z4
Q04HB6	Q04HB6
A8AXQ6	A8AXQ6
B4LQT7	B4LQT7
B4LQT7	B4KFW6
Q54N80	Q54N80
P41090	P41090
P36367	P36367
A8FD38	A8FD38
Q3ATB5	Q3ATB5
A4WF96	A4WF96
Q28V76	Q28V76
A6LCS5	A6LCS5
O33509	O33509
A6U135	A6U135
A6U135	Q2FHM2
A6U135	Q2FZ68
A6U135	Q2YXK0
A6U135	Q5HGL6
A6U135	A6QGB6
A6U135	P64136
B1L8W7	B1L8W7
P29703	P29703
A1R228	A1R228
A8ESH8	A8ESH8
B0RDR2	B0RDR2
B0RDR2	A5CU17
B9KZ23	B9KZ23
O04862	O04862
B2IE81	B2IE81
O54408	O54408
P26397	P26397
Q5QMN3	Q5QMN3
Q1WRE4	Q1WRE4
Q1M5X7	Q1M5X7
B1KAV6	B1KAV6
B1KAV6	A0KDV2
A0A9E7S5B9	A0A9E7S5B9
Q49YJ7	Q49YJ7
B6YXC8	B6YXC8
Q4J963	Q4J963
B6JF93	B6JF93
Q2NDN5	Q2NDN5
B0UQE6	B0UQE6
B3QIV5	B3QIV5
B3QIV5	Q2IW68
B0K9N5	B0K9N5
P10297	P10297
P36602	P36602
Q2YKV1	Q2YKV1
Q2YKV1	P61711
Q2YKV1	P61712
A7Z674	A7Z674
B0RC64	B0RC64
A3PFD1	A3PFD1
A3PFD1	A8G7E8
A3PFD1	A2BTM4
Q5N0X6	Q5N0X6
Q5N0X6	Q31KZ5
P86926	P86926
Q087X5	Q087X5
Q12PZ8	Q12PZ8
A1K598	A1K598
Q3J2Q5	Q3J2Q5
B2UGQ0	B2UGQ0
A0M4S0	A0M4S0
Q02G60	Q02G60
A3N2P8	A3N2P8
A3N2P8	B3H2J7
A3N2P8	B0BRS6
A3N2P8	Q65RH0
A3N2P8	Q4QPL1
A3N2P8	A5UBA5
A3N2P8	A5UFK3
A3N2P8	P44470
A6WXS5	A6WXS5
B9E3M4	B9E3M4
A5FE53	A5FE53
Q04HG9	Q04HG9
Q2RV09	Q2RV09
B3E3Q8	B3E3Q8
Q21JW7	Q21JW7
Q5P1Y4	Q5P1Y4
A5G209	A5G209
B1JT94	B1JT94
B1JT94	Q39FQ7
B1JT94	A3MK77
B1JT94	Q62JW2
B1JT94	A1V4K3
B1JT94	Q1BGX6
B1JT94	A3NVX3
B1JT94	Q3JRQ1
B1JT94	Q63UT5
B1JT94	A0K7T8
B1JT94	B2JIV3
B1JT94	Q13X26
Q1J0P9	Q1J0P9
Q2SDW1	Q2SDW1
B5ZTF1	B5ZTF1
B5ZTF1	Q2K3B1
P27830	P27830
Q5XIK5	Q5XIK5
Q5XIK5	Q2PFU6
P00667	P00667
P00667	P00666
B0BP37	B0BP37
B0BP37	A3N0B9
B0BP37	B3GXJ4
Q57E81	Q57E81
